"filename", "language", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "XML", "JavaScript React", "comment", "blank", "total"
"d:\REACT JS\Projects\social_media\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\REACT JS\Projects\social_media\public\style.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\REACT JS\Projects\social_media\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\REACT JS\Projects\social_media\src\App.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 13, 56
"d:\REACT JS\Projects\social_media\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\REACT JS\Projects\social_media\src\Components\CloseFrideds\CloseFriends.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\REACT JS\Projects\social_media\src\Components\CloseFrideds\CloseFriends.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"d:\REACT JS\Projects\social_media\src\Components\FeedPost\FeedPost.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 77, 4, 13, 94
"d:\REACT JS\Projects\social_media\src\Components\FeedPost\post.css", "CSS", 0, 0, 67, 0, 0, 0, 0, 0, 2, 69
"d:\REACT JS\Projects\social_media\src\Components\OnlineFriends\OnlineFriends.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"d:\REACT JS\Projects\social_media\src\Components\OnlineFriends\onlineFriends.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"d:\REACT JS\Projects\social_media\src\Components\Topbar\Topbar.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 1, 53
"d:\REACT JS\Projects\social_media\src\Components\Topbar\topbar.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 4, 3, 88
"d:\REACT JS\Projects\social_media\src\Components\feed\FeedSection.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 31, 4, 3, 38
"d:\REACT JS\Projects\social_media\src\Components\feed\feed.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\REACT JS\Projects\social_media\src\Components\rightbar\RightBar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 119, 2, 28, 149
"d:\REACT JS\Projects\social_media\src\Components\rightbar\rightbar.css", "CSS", 0, 0, 83, 0, 0, 0, 0, 0, 2, 85
"d:\REACT JS\Projects\social_media\src\Components\share\ShareComponet.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 76, 1, 14, 91
"d:\REACT JS\Projects\social_media\src\Components\share\share.css", "CSS", 0, 0, 66, 0, 0, 0, 0, 1, 1, 68
"d:\REACT JS\Projects\social_media\src\Components\sidebar\Sidebar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 62, 0, 6, 68
"d:\REACT JS\Projects\social_media\src\Components\sidebar\sidebar.css", "CSS", 0, 0, 50, 0, 0, 0, 0, 1, 2, 53
"d:\REACT JS\Projects\social_media\src\Context\AuthAction.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\REACT JS\Projects\social_media\src\Context\AuthContext.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 30, 4, 55
"d:\REACT JS\Projects\social_media\src\Context\AuthReducer.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 9, 52
"d:\REACT JS\Projects\social_media\src\apiCalls\apicall.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\REACT JS\Projects\social_media\src\dummyData.js", "JavaScript", 0, 0, 0, 138, 0, 0, 0, 0, 1, 139
"d:\REACT JS\Projects\social_media\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
