"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "JavaScript React", "XML", "comment", "blank", "total"
"d:\REACT JS\Projects\social_media\src\pages\HomePage\Home.jsx", "JavaScript React", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"d:\REACT JS\Projects\social_media\src\pages\HomePage\home.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\REACT JS\Projects\social_media\src\pages\LoginPage\LoginPage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 38, 0, 1, 5, 44
"d:\REACT JS\Projects\social_media\src\pages\LoginPage\loginpage.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 1, 3, 84
"d:\REACT JS\Projects\social_media\src\pages\Profile\Profile.jsx", "JavaScript React", 0, 0, 0, 0, 0, 45, 0, 0, 11, 56
"d:\REACT JS\Projects\social_media\src\pages\Profile\profile.css", "CSS", 0, 0, 0, 41, 0, 0, 0, 0, 4, 45
"d:\REACT JS\Projects\social_media\src\pages\RegisterPage\RegisterPage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 63, 0, 0, 10, 73
"d:\REACT JS\Projects\social_media\src\pages\RegisterPage\registerPage.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 1, 3, 84
"d:\REACT JS\Projects\social_media\src\pages\temp\Dipak.jsx", "JavaScript React", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\REACT JS\Projects\social_media\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\REACT JS\Projects\social_media\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 13879, 712, 38, 598, 19, 476, 1, 69, 264, 16056
